empID,courseID,skillID,skillCategory,assessmentID,assessment_score,max_score,due_date,test_taken,test_completed,assessment_percentage
1,1,1,Programming Languages,101,85,100,2024-05-01,2024-04-28,2024-04-30,85.0
1,2,2,Programming Languages,102,90,100,2024-05-05,2024-05-01,2024-05-03,90.0
2,3,3,Management Skills,103,75,100,2024-05-10,2024-05-07,2024-05-09,75.0
2,4,4,Data Skills,104,80,100,2024-05-15,2024-05-12,2024-05-14,80.0
3,5,5,Data Science,105,95,100,2024-05-20,2024-05-18,2024-05-19,95.0
3,6,6,Soft Skills,106,70,100,2024-05-25,2024-05-22,2024-05-24,70.0
4,7,7,Web Development,107,88,100,2024-05-30,2024-05-28,2024-05-29,88.0
4,8,8,Web Development,108,82,100,2024-06-01,2024-05-31,2024-05-31,82.0
5,9,9,Technical Skills,109,92,100,2024-06-05,2024-06-02,2024-06-04,92.0
5,10,10,Soft Skills,110,78,100,2024-06-10,2024-06-06,2024-06-09,78.0
6,11,11,Management Skills,111,85,100,2024-06-15,2024-06-12,2024-06-14,85.0
6,12,12,Marketing Skills,112,90,100,2024-06-20,2024-06-18,2024-06-19,90.0
7,13,13,Data Skills,113,76,100,2024-06-25,2024-06-22,2024-06-24,76.0
7,14,14,Technical Skills,114,80,100,2024-06-30,2024-06-28,2024-06-29,80.0
8,15,15,Data Science,115,94,100,2024-07-05,2024-07-02,2024-07-04,94.0
8,16,16,Management Skills,116,89,100,2024-07-10,2024-07-07,2024-07-09,89.0
9,17,17,Soft Skills,117,73,100,2024-07-15,2024-07-12,2024-07-14,73.0
9,18,18,Web Development,118,91,100,2024-07-20,2024-07-18,2024-07-19,91.0
10,19,19,Technical Skills,119,84,100,2024-07-25,2024-07-22,2024-07-24,84.0
10,20,20,Data Skills,120,77,100,2024-07-30,2024-07-28,2024-07-29,77.0
11,21,21,Programming Languages,121,95,100,2024-08-05,2024-08-01,2024-08-04,95.0
11,22,22,Web Development,122,88,100,2024-08-10,2024-08-07,2024-08-09,88.0
12,23,23,Data Science,123,81,100,2024-08-15,2024-08-12,2024-08-14,81.0
12,24,24,Soft Skills,124,86,100,2024-08-20,2024-08-17,2024-08-19,86.0
13,25,25,Marketing Skills,125,90,100,2024-08-25,2024-08-22,2024-08-24,90.0
13,26,26,Data Skills,126,82,100,2024-08-30,2024-08-27,2024-08-29,82.0
14,27,27,Technical Skills,127,75,100,2024-09-05,2024-09-02,2024-09-04,75.0
14,28,28,Web Development,128,88,100,2024-09-10,2024-09-08,2024-09-09,88.0
15,29,29,Management Skills,129,85,100,2024-09-15,2024-09-12,2024-09-14,85.0
15,30,30,Soft Skills,130,78,100,2024-09-20,2024-09-18,2024-09-19,78.0
16,1,31,Programming Languages,131,93,100,2024-09-25,2024-09-23,2024-09-24,93.0
16,2,32,Technical Skills,132,81,100,2024-09-30,2024-09-28,2024-09-29,81.0
17,3,33,Data Science,133,76,100,2024-10-05,2024-10-02,2024-10-04,76.0
17,4,34,Web Development,134,89,100,2024-10-10,2024-10-07,2024-10-09,89.0
18,5,35,Soft Skills,135,84,100,2024-10-15,2024-10-12,2024-10-14,84.0
18,6,36,Marketing Skills,136,72,100,2024-10-20,2024-10-17,2024-10-19,72.0
19,7,37,Management Skills,137,91,100,2024-10-25,2024-10-22,2024-10-24,91.0
19,8,38,Data Skills,138,88,100,2024-10-30,2024-10-28,2024-10-29,88.0
20,9,39,Technical Skills,139,80,100,2024-11-05,2024-11-02,2024-11-04,80.0
20,10,40,Soft Skills,140,74,100,2024-11-10,2024-11-07,2024-11-09,74.0
21,11,41,Programming Languages,141,87,100,2024-11-15,2024-11-12,2024-11-14,87.0
21,12,42,Web Development,142,83,100,2024-11-20,2024-11-17,2024-11-19,83.0
22,13,43,Data Science,143,90,100,2024-11-25,2024-11-22,2024-11-24,90.0
22,14,44,Marketing Skills,144,76,100,2024-11-30,2024-11-27,2024-11-29,76.0
23,15,45,Technical Skills,145,78,100,2024-12-05,2024-12-02,2024-12-04,78.0
23,16,46,Management Skills,146,85,100,2024-12-10,2024-12-08,2024-12-09,85.0
24,17,47,Web Development,147,92,100,2024-12-15,2024-12-12,2024-12-14,92.0
24,18,48,Soft Skills,148,80,100,2024-12-20,2024-12-18,2024-12-19,80.0
25,19,49,Data Skills,149,78,100,2024-12-25,2024-12-22,2024-12-24,78.0
25,20,50,Technical Skills,150,89,100,2024-12-30,2024-12-27,2024-12-29,89.0
26,21,51,Management Skills,151,84,100,2025-01-05,2025-01-02,2025-01-04,84.0
26,22,52,Data Science,152,77,100,2025-01-10,2025-01-08,2025-01-09,77.0
27,23,53,Programming Languages,153,91,100,2025-01-15,2025-01-12,2025-01-14,91.0
27,24,54,Web Development,154,83,100,2025-01-20,2025-01-18,2025-01-19,83.0
28,25,55,Soft Skills,155,75,100,2025-01-25,2025-01-22,2025-01-24,75.0
28,26,56,Technical Skills,156,88,100,2025-01-30,2025-01-27,2025-01-29,88.0
29,27,57,Data Skills,157,94,100,2025-02-05,2025-02-02,2025-02-04,94.0
29,28,58,Management Skills,158,82,100,2025-02-10,2025-02-08,2025-02-09,82.0
30,29,59,Data Science,159,76,100,2025-02-15,2025-02-12,2025-02-14,76.0
30,30,60,Web Development,160,90,100,2025-02-20,2025-02-18,2025-02-19,90.0
1,1,61,Technical Skills,161,85,100,2025-02-25,2025-02-22,2025-02-24,85.0
1,2,62,Soft Skills,162,88,100,2025-03-01,2025-02-27,2025-02-28,88.0
2,3,63,Programming Languages,163,92,100,2025-03-05,2025-03-03,2025-03-04,92.0
2,4,64,Data Skills,164,80,100,2025-03-10,2025-03-07,2025-03-09,80.0
3,5,65,Management Skills,165,78,100,2025-03-15,2025-03-12,2025-03-14,78.0
3,6,66,Technical Skills,166,85,100,2025-03-20,2025-03-17,2025-03-19,85.0
4,7,67,Data Science,167,90,100,2025-03-25,2025-03-22,2025-03-24,90.0
4,8,68,Web Development,168,82,100,2025-03-30,2025-03-28,2025-03-29,82.0
5,9,69,Data Skills,169,93,100,2025-04-05,2025-04-02,2025-04-04,93.0
5,10,70,Technical Skills,170,79,100,2025-04-10,2025-04-07,2025-04-09,79.0
6,11,71,Management Skills,171,88,100,2025-04-15,2025-04-12,2025-04-14,88.0
6,12,72,Web Development,172,81,100,2025-04-20,2025-04-17,2025-04-19,81.0
7,13,73,Data Science,173,76,100,2025-04-25,2025-04-22,2025-04-24,76.0
7,14,74,Soft Skills,174,84,100,2025-04-30,2025-04-27,2025-04-29,84.0
8,15,75,Technical Skills,175,90,100,2025-05-05,2025-05-02,2025-05-04,90.0
8,16,76,Management Skills,176,82,100,2025-05-10,2025-05-07,2025-05-09,82.0
9,17,77,Data Skills,177,87,100,2025-05-15,2025-05-12,2025-05-14,87.0
9,18,78,Web Development,178,75,100,2025-05-20,2025-05-17,2025-05-19,75.0
10,19,79,Soft Skills,179,91,100,2025-05-25,2025-05-22,2025-05-24,91.0
10,20,80,Technical Skills,180,89,100,2025-05-30,2025-05-27,2025-05-29,89.0
11,21,81,Data Science,181,73,100,2025-06-04,2025-06-01,2025-06-03,73.0
11,22,82,Management Skills,182,86,100,2025-06-09,2025-06-06,2025-06-08,86.0
12,23,83,Web Development,183,80,100,2025-06-14,2025-06-11,2025-06-13,80.0
12,24,84,Soft Skills,184,92,100,2025-06-19,2025-06-16,2025-06-18,92.0
13,25,85,Technical Skills,185,77,100,2025-06-24,2025-06-21,2025-06-23,77.0
13,26,86,Data Skills,186,89,100,2025-06-29,2025-06-26,2025-06-28,89.0
14,27,87,Management Skills,187,74,100,2025-07-04,2025-07-01,2025-07-03,74.0
14,28,88,Web Development,188,82,100,2025-07-09,2025-07-06,2025-07-08,82.0
15,29,89,Data Science,189,91,100,2025-07-14,2025-07-11,2025-07-13,91.0
15,30,90,Soft Skills,190,88,100,2025-07-19,2025-07-16,2025-07-18,88.0
16,1,91,Data Skills,191,95,100,2025-07-24,2025-07-21,2025-07-23,95.0
16,2,92,Management Skills,192,82,100,2025-07-29,2025-07-26,2025-07-28,82.0
17,3,93,Web Development,193,80,100,2025-08-03,2025-07-31,2025-08-02,80.0
17,4,94,Soft Skills,194,78,100,2025-08-08,2025-08-05,2025-08-07,78.0
18,5,95,Technical Skills,195,90,100,2025-08-13,2025-08-10,2025-08-12,90.0
18,6,96,Data Science,196,85,100,2025-08-18,2025-08-15,2025-08-17,85.0
19,7,97,Programming Languages,197,92,100,2025-08-23,2025-08-20,2025-08-22,92.0
19,8,98,Management Skills,198,76,100,2025-08-28,2025-08-25,2025-08-27,76.0
20,9,99,Web Development,199,89,100,2025-09-02,2025-08-30,2025-09-01,89.0
20,10,100,Technical Skills,200,83,100,2025-09-07,2025-09-04,2025-09-06,83.0
21,11,101,Data Skills,201,75,100,2025-09-12,2025-09-09,2025-09-11,75.0
21,12,102,Soft Skills,202,94,100,2025-09-17,2025-09-14,2025-09-16,94.0
22,13,103,Management Skills,203,81,100,2025-09-22,2025-09-19,2025-09-21,81.0
22,14,104,Web Development,204,87,100,2025-09-27,2025-09-24,2025-09-26,87.0
23,15,105,Technical Skills,205,88,100,2025-10-02,2025-09-29,2025-10-01,88.0
23,16,106,Data Science,206,93,100,2025-10-07,2025-10-04,2025-10-06,93.0
24,17,107,Programming Languages,207,79,100,2025-10-12,2025-10-09,2025-10-11,79.0
24,18,108,Soft Skills,208,82,100,2025-10-17,2025-10-14,2025-10-16,82.0
25,19,109,Management Skills,209,84,100,2025-10-22,2025-10-19,2025-10-21,84.0
25,20,110,Web Development,210,91,100,2025-10-27,2025-10-24,2025-10-26,91.0
26,21,111,Data Skills,211,78,100,2025-11-01,2025-10-29,2025-10-31,78.0
26,22,112,Technical Skills,212,85,100,2025-11-06,2025-11-03,2025-11-05,85.0
27,23,113,Management Skills,213,90,100,2025-11-11,2025-11-08,2025-11-10,90.0
27,24,114,Technical Skills,214,83,100,2025-11-16,2025-11-13,2025-11-15,83.0
28,25,115,Web Development,215,75,100,2025-11-21,2025-11-18,2025-11-20,75.0
28,26,116,Data Skills,216,89,100,2025-11-26,2025-11-23,2025-11-25,89.0
29,27,117,Soft Skills,217,92,100,2025-12-01,2025-11-29,2025-11-30,92.0
29,28,118,Data Science,218,84,100,2025-12-06,2025-12-03,2025-12-05,84.0
30,29,119,Technical Skills,219,88,100,2025-12-11,2025-12-08,2025-12-10,88.0
30,30,120,Management Skills,220,79,100,2025-12-16,2025-12-13,2025-12-15,79.0
1,1,121,Web Development,221,91,100,2025-12-21,2025-12-18,2025-12-20,91.0
1,2,122,Soft Skills,222,82,100,2025-12-26,2025-12-23,2025-12-25,82.0
2,3,123,Data Skills,223,76,100,2026-01-01,2025-12-30,2026-01-01,76.0
2,4,124,Technical Skills,224,93,100,2026-01-06,2026-01-03,2026-01-05,93.0
3,5,125,Management Skills,225,87,100,2026-01-11,2026-01-08,2026-01-10,87.0
3,6,126,Web Development,226,80,100,2026-01-16,2026-01-13,2026-01-15,80.0
4,7,127,Data Science,227,75,100,2026-01-21,2026-01-18,2026-01-20,75.0
4,8,128,Technical Skills,228,90,100,2026-01-26,2026-01-23,2026-01-25,90.0
5,9,129,Soft Skills,229,84,100,2026-01-31,2026-01-28,2026-01-30,84.0
5,10,130,Management Skills,230,88,100,2026-02-05,2026-02-02,2026-02-04,88.0
6,11,131,Web Development,231,92,100,2026-02-10,2026-02-07,2026-02-09,92.0
6,12,132,Data Skills,232,81,100,2026-02-15,2026-02-12,2026-02-14,81.0
7,13,133,Technical Skills,233,78,100,2026-02-20,2026-02-17,2026-02-19,78.0
7,14,134,Soft Skills,234,94,100,2026-02-25,2026-02-22,2026-02-24,94.0
8,15,135,Management Skills,235,80,100,2026-03-02,2026-02-28,2026-03-01,80.0
8,16,136,Web Development,236,82,100,2026-03-07,2026-03-04,2026-03-06,82.0
